Epoch: 1, Train loss: 0.216, Val loss: 0.174, Epoch time = 8.295s
Epoch: 2, Train loss: 0.171, Val loss: 0.167, Epoch time = 8.022s
Epoch: 3, Train loss: 0.167, Val loss: 0.165, Epoch time = 7.995s
Epoch: 4, Train loss: 0.166, Val loss: 0.164, Epoch time = 7.973s
Epoch: 5, Train loss: 0.164, Val loss: 0.162, Epoch time = 8.035s
Epoch: 6, Train loss: 0.163, Val loss: 0.161, Epoch time = 8.012s
Epoch: 7, Train loss: 0.161, Val loss: 0.159, Epoch time = 8.011s
Epoch: 8, Train loss: 0.160, Val loss: 0.158, Epoch time = 8.057s
Epoch: 9, Train loss: 0.159, Val loss: 0.157, Epoch time = 8.084s
Epoch: 10, Train loss: 0.158, Val loss: 0.156, Epoch time = 8.006s
Epoch: 11, Train loss: 0.157, Val loss: 0.155, Epoch time = 8.004s
Epoch: 12, Train loss: 0.156, Val loss: 0.155, Epoch time = 8.028s
Epoch: 13, Train loss: 0.155, Val loss: 0.154, Epoch time = 8.016s
Epoch: 14, Train loss: 0.154, Val loss: 0.153, Epoch time = 8.028s
Epoch: 15, Train loss: 0.154, Val loss: 0.153, Epoch time = 8.068s
Epoch: 16, Train loss: 0.153, Val loss: 0.152, Epoch time = 8.032s
Epoch: 17, Train loss: 0.152, Val loss: 0.151, Epoch time = 8.041s
Epoch: 18, Train loss: 0.152, Val loss: 0.151, Epoch time = 8.032s
Epoch: 19, Train loss: 0.151, Val loss: 0.150, Epoch time = 8.024s
Epoch: 20, Train loss: 0.151, Val loss: 0.150, Epoch time = 8.025s
Epoch: 21, Train loss: 0.150, Val loss: 0.150, Epoch time = 8.014s
Epoch: 22, Train loss: 0.150, Val loss: 0.149, Epoch time = 8.026s
Epoch: 23, Train loss: 0.149, Val loss: 0.149, Epoch time = 8.019s
Epoch: 24, Train loss: 0.149, Val loss: 0.148, Epoch time = 8.039s
Epoch: 25, Train loss: 0.148, Val loss: 0.148, Epoch time = 8.034s
Epoch: 26, Train loss: 0.148, Val loss: 0.147, Epoch time = 8.044s
Epoch: 27, Train loss: 0.147, Val loss: 0.147, Epoch time = 8.018s
Epoch: 28, Train loss: 0.147, Val loss: 0.146, Epoch time = 8.026s
Epoch: 29, Train loss: 0.146, Val loss: 0.146, Epoch time = 8.029s
Epoch: 30, Train loss: 0.146, Val loss: 0.146, Epoch time = 8.021s
Epoch: 31, Train loss: 0.146, Val loss: 0.145, Epoch time = 8.012s
Epoch: 32, Train loss: 0.145, Val loss: 0.145, Epoch time = 8.023s
Epoch: 33, Train loss: 0.145, Val loss: 0.145, Epoch time = 8.056s
