Epoch: 1, Train loss: 17.800, Val loss: 17.224, Epoch time = 21.122s
Epoch: 2, Train loss: 17.268, Val loss: 16.916, Epoch time = 21.173s
Epoch: 3, Train loss: 17.060, Val loss: 16.846, Epoch time = 21.555s
Epoch: 4, Train loss: 16.947, Val loss: 16.740, Epoch time = 21.267s
Epoch: 5, Train loss: 16.871, Val loss: 16.689, Epoch time = 20.907s
Epoch: 6, Train loss: 16.813, Val loss: 16.641, Epoch time = 20.895s
Epoch: 7, Train loss: 16.765, Val loss: 16.625, Epoch time = 20.898s
Epoch: 8, Train loss: 16.726, Val loss: 16.596, Epoch time = 20.869s
Epoch: 9, Train loss: 16.690, Val loss: 16.583, Epoch time = 21.218s
Epoch: 10, Train loss: 16.657, Val loss: 16.551, Epoch time = 20.773s
Epoch: 11, Train loss: 16.626, Val loss: 16.532, Epoch time = 25.559s
Epoch: 12, Train loss: 16.596, Val loss: 16.530, Epoch time = 27.325s
Epoch: 13, Train loss: 16.569, Val loss: 16.511, Epoch time = 27.511s
Epoch: 14, Train loss: 16.539, Val loss: 16.522, Epoch time = 32.292s
Epoch: 15, Train loss: 16.514, Val loss: 16.493, Epoch time = 26.801s
Epoch: 16, Train loss: 16.486, Val loss: 16.450, Epoch time = 49.071s
Epoch: 17, Train loss: 16.461, Val loss: 16.455, Epoch time = 35.110s
Epoch: 18, Train loss: 16.435, Val loss: 16.449, Epoch time = 38.414s
Epoch: 19, Train loss: 16.409, Val loss: 16.426, Epoch time = 31.789s
Epoch: 20, Train loss: 16.384, Val loss: 16.420, Epoch time = 40.306s
Epoch: 21, Train loss: 16.360, Val loss: 16.400, Epoch time = 34.987s
