Epoch: 1, Train loss: 0.199, Val loss: 0.192, Epoch time = 94.627s
Epoch: 2, Train loss: 0.194, Val loss: 0.192, Epoch time = 92.605s
Epoch: 3, Train loss: 0.193, Val loss: 0.191, Epoch time = 91.979s
Epoch: 4, Train loss: 0.193, Val loss: 0.191, Epoch time = 97.149s
Epoch: 5, Train loss: 0.193, Val loss: 0.191, Epoch time = 91.143s
Epoch: 6, Train loss: 0.192, Val loss: 0.191, Epoch time = 92.396s
Epoch: 7, Train loss: 0.192, Val loss: 0.190, Epoch time = 91.301s
Epoch: 8, Train loss: 0.191, Val loss: 0.190, Epoch time = 89.910s
Epoch: 9, Train loss: 0.191, Val loss: 0.190, Epoch time = 89.913s
Epoch: 10, Train loss: 0.191, Val loss: 0.190, Epoch time = 89.956s
Epoch: 11, Train loss: 0.191, Val loss: 0.190, Epoch time = 89.845s
Epoch: 12, Train loss: 0.191, Val loss: 0.190, Epoch time = 89.822s
Epoch: 13, Train loss: 0.190, Val loss: 0.190, Epoch time = 89.995s
Epoch: 14, Train loss: 0.190, Val loss: 0.190, Epoch time = 89.932s
Epoch: 15, Train loss: 0.190, Val loss: 0.190, Epoch time = 89.843s
Epoch: 16, Train loss: 0.190, Val loss: 0.190, Epoch time = 89.986s
Epoch: 17, Train loss: 0.189, Val loss: 0.190, Epoch time = 89.932s
Epoch: 18, Train loss: 0.189, Val loss: 0.190, Epoch time = 89.951s
Epoch: 19, Train loss: 0.189, Val loss: 0.190, Epoch time = 89.885s
Epoch: 20, Train loss: 0.189, Val loss: 0.190, Epoch time = 95.014s
