Epoch: 1, Train loss: 0.13315, Val loss: 0.11709, Epoch time = 455.539s
Epoch: 2, Train loss: 0.11890, Val loss: 0.11177, Epoch time = 442.241s
Epoch: 3, Train loss: 0.11325, Val loss: 0.10656, Epoch time = 435.138s
Epoch: 4, Train loss: 0.10790, Val loss: 0.10156, Epoch time = 435.477s
Epoch: 5, Train loss: 0.10342, Val loss: 0.09892, Epoch time = 435.359s
Epoch: 6, Train loss: 0.09976, Val loss: 0.09670, Epoch time = 435.377s
Epoch: 7, Train loss: 0.09631, Val loss: 0.09554, Epoch time = 435.462s
Epoch: 8, Train loss: 0.09306, Val loss: 0.09487, Epoch time = 435.359s
Epoch: 9, Train loss: 0.08957, Val loss: 0.09470, Epoch time = 435.461s
Epoch: 10, Train loss: 0.08587, Val loss: 0.09572, Epoch time = 435.411s
Epoch: 11, Train loss: 0.08185, Val loss: 0.09685, Epoch time = 435.442s
Epoch: 12, Train loss: 0.07737, Val loss: 0.09935, Epoch time = 435.511s
Epoch: 13, Train loss: 0.07261, Val loss: 0.10285, Epoch time = 435.434s
Epoch: 14, Train loss: 0.06764, Val loss: 0.10559, Epoch time = 435.465s
Epoch: 15, Train loss: 0.06245, Val loss: 0.11231, Epoch time = 435.620s
Epoch: 16, Train loss: 0.05743, Val loss: 0.11385, Epoch time = 435.651s
Epoch: 17, Train loss: 0.05243, Val loss: 0.12475, Epoch time = 435.631s
Epoch: 18, Train loss: 0.04776, Val loss: 0.13201, Epoch time = 435.781s
Epoch: 19, Train loss: 0.04350, Val loss: 0.13999, Epoch time = 435.654s
Epoch: 20, Train loss: 0.03954, Val loss: 0.14662, Epoch time = 435.722s
Epoch: 21, Train loss: 0.03600, Val loss: 0.15349, Epoch time = 435.773s
Epoch: 22, Train loss: 0.03284, Val loss: 0.16465, Epoch time = 435.682s
